id,year,category,number
1,2014,Murder and nonnegligent manslaughter,10571
2,2014,Forcible rape,21007
3,2014,Robbery,94403
4,2014,Aggravated assault,372685
5,2014,Burglary,237974
6,2014,Larceny-theft,1238190
7,2014,Motor vehicle theft,68422
8,2014,Arson,9394
11,2014,Other assaults,1093258
12,2014,Forgery and counterfeiting,56783
13,2014,Fraud,141293
14,2014,Embezzlement,16227
15,2014,Stolen property: buying or receiving or possessing,88946
16,2014,Vandalism,198400
17,2014,Weapons: carrying or possessing or etc.,140713
18,2014,Prostitution and commercialized vice,47598
19,2014,Sex offenses (except forcible rape and prostitution),55456
20,2014,Drug abuse violations,1561231
21,2014,Gambling,5637
22,2014,Offenses against family and children,102336
23,2014,Driving under the influence,1117852
24,2014,Liquor laws,321125
25,2014,Drunkenness,414854
26,2014,Disorderly conduct,436014
27,2014,Vagrancy,27380
28,2014,All other offenses,3274430
29,2014,Suspicion (not included in totals),1310
30,2014,Curfew and loitering law violations,53654
31,2015,Murder and nonnegligent manslaughter,11092
32,2015,Forcible rape,22863
33,2015,Robbery,95572
34,2015,Aggravated assault,376154
35,2015,Burglary,216010
36,2015,Larceny-theft,1160390
37,2015,Motor vehicle theft,77979
38,2015,Arson,8834
41,2015,Other assaults,1081019
42,2015,Forgery and counterfeiting,55333
43,2015,Fraud,133138
44,2015,Embezzlement,15909
45,2015,Stolen property: buying or receiving or possessing,88576
46,2015,Vandalism,191015
47,2015,Weapons: carrying or possessing or etc.,145358
48,2015,Prostitution and commercialized vice,41877
49,2015,Sex offenses (except forcible rape and prostitution),51388
50,2015,Drug abuse violations,1488707
51,2015,Gambling,4825
52,2015,Offenses against family and children,94837
53,2015,Driving under the influence,1089171
54,2015,Liquor laws,266250
55,2015,Drunkenness,405880
56,2015,Disorderly conduct,386078
57,2015,Vagrancy,25151
58,2015,All other offenses,3218880
59,2015,Suspicion (not included in totals),1389
60,2015,Curfew and loitering law violations,44802
61,2013,Murder and nonnegligent manslaughter,10231
62,2013,Forcible rape,16863
63,2013,Robbery,94406
64,2013,Aggravated assault,358860
65,2013,Burglary,252629
66,2013,Larceny-theft,1231580
67,2013,Motor vehicle theft,64566
68,2013,Arson,10509
71,2013,Other assaults,1097741
72,2013,Forgery and counterfeiting,60969
73,2013,Fraud,143528
74,2013,Embezzlement,15730
75,2013,Stolen property: buying or receiving or possessing,92691
76,2013,Vandalism,201168
77,2013,Weapons: carrying or possessing or etc.,137779
78,2013,Prostitution and commercialized vice,48620
79,2013,Sex offenses (except forcible rape and prostitution),57925
80,2013,Drug abuse violations,1501043
81,2013,Gambling,6024
82,2013,Offenses against family and children,101247
83,2013,Driving under the influence,1166824
84,2013,Liquor laws,354872
85,2013,Drunkenness,443527
86,2013,Disorderly conduct,467993
87,2013,Vagrancy,25755
88,2013,All other offenses,3282651
89,2013,Suspicion (not included in totals),1096
90,2013,Curfew and loitering law violations,56371
91,2016,Murder and nonnegligent manslaughter,11788
92,2016,Forcible rape,23632
93,2016,Robbery,95754
94,2016,Aggravated assault,383977
95,2016,Burglary,207325
96,2016,Larceny-theft,1050058
97,2016,Motor vehicle theft,86088
98,2016,Arson,9812
101,2016,Other assaults,1078808
102,2016,Forgery and counterfeiting,56661
103,2016,Fraud,128531
104,2016,Embezzlement,15937
105,2016,Stolen property: buying or receiving or possessing,93981
106,2016,Vandalism,195951
107,2016,Weapons: carrying or possessing or etc.,156777
108,2016,Prostitution and commercialized vice,38306
109,2016,Sex offenses (except forcible rape and prostitution),51063
110,2016,Drug abuse violations,1572579
111,2016,Gambling,3705
112,2016,Offenses against family and children,88748
113,2016,Driving under the influence,1017808
114,2016,Liquor laws,234899
115,2016,Drunkenness,376433
116,2016,Disorderly conduct,369733
117,2016,Vagrancy,24851
118,2016,All other offenses,3254871
119,2016,Suspicion (not included in totals),576
120,2016,Curfew and loitering law violations,34176
121,2017,Murder and nonnegligent manslaughter,12208
122,2017,Forcible rape,23436
123,2017,Robbery,94046
124,2017,Aggravated assault,388927
125,2017,Burglary,199266
126,2017,Larceny-theft,950357
127,2017,Motor vehicle theft,91023
128,2017,Arson,9111
131,2017,Other assaults,1062370
132,2017,Forgery and counterfeiting,55604
133,2017,Fraud,124232
134,2017,Embezzlement,15967
135,2017,Stolen property: buying or receiving or possessing,98660
136,2017,Vandalism,188350
137,2017,Weapons: carrying or possessing or etc.,164984
138,2017,Prostitution and commercialized vice,36247
139,2017,Sex offenses (except forcible rape and prostitution),48525
140,2017,Drug abuse violations,1632921
141,2017,Gambling,3237
142,2017,Offenses against family and children,94062
143,2017,Driving under the influence,990678
144,2017,Liquor laws,207332
145,2017,Drunkenness,366824
146,2017,Disorderly conduct,353151
147,2017,Vagrancy,23321
148,2017,All other offenses,3290015
149,2017,Suspicion (not included in totals),885
150,2017,Curfew and loitering law violations,30131
151,2012,Murder and nonnegligent manslaughter,11075
152,2012,Forcible rape,18098
153,2012,Robbery,103661
154,2012,Aggravated assault,388362
155,2012,Burglary,283582
156,2012,Larceny-theft,1282352
157,2012,Motor vehicle theft,68845
158,2012,Arson,11433
161,2012,Other assaults,1199476
162,2012,Forgery and counterfeiting,67046
163,2012,Fraud,153535
164,2012,Embezzlement,16023
165,2012,Stolen property: buying or receiving or possessing,97670
166,2012,Vandalism,228463
167,2012,Weapons: carrying or possessing or etc.,149286
168,2012,Prostitution and commercialized vice,56575
169,2012,Sex offenses (except forcible rape and prostitution),68355
170,2012,Drug abuse violations,1552432
171,2012,Gambling,7868
172,2012,Offenses against family and children,107018
173,2012,Driving under the influence,1282957
174,2012,Liquor laws,441532
175,2012,Drunkenness,511271
176,2012,Disorderly conduct,543995
177,2012,Vagrancy,27003
178,2012,All other offenses,3448856
179,2012,Suspicion (not included in totals),1532
180,2012,Curfew and loitering law violations,70190
181,2018,Murder and nonnegligent manslaughter,11970
182,2018,Forcible rape,25205
183,2018,Robbery,88128
184,2018,Aggravated assault,395800
185,2018,Burglary,178611
186,2018,Larceny-theft,887622
187,2018,Motor vehicle theft,91676
188,2018,Arson,9387
191,2018,Other assaults,1063535
192,2018,Forgery and counterfeiting,50072
193,2018,Fraud,119951
194,2018,Embezzlement,14765
195,2018,Stolen property: buying or receiving or possessing,93161
196,2018,Vandalism,179828
197,2018,Weapons: carrying or possessing or etc.,168403
198,2018,Prostitution and commercialized vice,31147
199,2018,Sex offenses (except forcible rape and prostitution),46937
200,2018,Drug abuse violations,1654282
201,2018,Gambling,3323
202,2018,Offenses against family and children,87475
203,2018,Driving under the influence,1001329
204,2018,Liquor laws,173152
205,2018,Drunkenness,328772
206,2018,Disorderly conduct,329152
207,2018,Vagrancy,23546
208,2018,All other offenses,3231700
209,2018,Suspicion (not included in totals),564
