id,offense,total,white,black,american_indian,asian,year
8559134,Murder and nonnegligent manslaughter,20040,10380,9360,160,150,1980
6322404,Forcible rape,31380,16140,14760,280,200,1980
5178640,Robbery,146270,60410,84140,780,950,1980
526117,Aggravated assault,277470,174800,98150,3140,1380,1980
7758101,Burglary,513300,360720,145830,3970,2780,1980
1427592,Larceny-theft,1191900,809930,358080,12110,11780,1980
3579035,Motor vehicle theft,138300,94910,40640,1430,1320,1980
9196533,Arson,19800,15660,3950,110,80,1980
915316,Other assaults,488600,329120,152490,4460,2520,1980
8961657,Forgery and counterfeiting,78200,52700,24770,460,280,1980
4476091,Fraud,291500,201080,88150,1460,810,1980
3304492,Embezzlement,8500,6370,2060,40,40,1980
5779673,Stolen property (buying or receiving or possessing),123200,84460,37560,730,450,1980
4186586,Vandalism,250500,209180,38160,2190,970,1980
9554243,Weapons (carrying or possessing or etc.),166700,105300,59300,1050,1050,1980
9802480,Prostitution and commercialized vice,88900,40200,47460,470,770,1980
8217411,Sex offenses (except forcible rape and prostitution),67400,53020,13330,620,440,1980
826,Drug abuse violations,580900,440690,135160,2560,2490,1980
6403368,Gambling,87000,26160,57780,340,2720,1980
1988595,Offenses against family and children,55400,35190,19420,710,90,1980
846572,Driving under the influence,1426700,1242230,160770,17280,6420,1980
9631842,Liquor laws,463500,425060,29850,7260,1330,1980
1063693,Drunkenness,1125800,920030,172630,31290,1850,1980
3550858,Disorderly conduct,769700,523530,232650,11700,1830,1980
7976321,Vagrancy,30700,20340,9550,630,180,1980
1793585,All other offenses,1775500,1290780,452600,16370,15760,1980
9567365,Curfew and loitering law violations,70700,57380,11840,1060,430,1980
8731359,Murder and nonnegligent manslaughter,21590,10900,10400,140,160,1981
9952011,Forcible rape,31710,16050,15210,220,230,1981
2183705,Robbery,153890,59440,92770,720,950,1981
4863707,Aggravated assault,283270,175550,103570,2530,1630,1981
29028,Burglary,518900,356640,155680,3510,3080,1981
7907305,Larceny-theft,1261600,836020,402020,10780,12780,1981
9736313,Motor vehicle theft,129200,87730,39240,1130,1110,1981
7321853,Arson,20600,16220,4140,140,100,1981
9557051,Other assaults,494200,327570,159270,4200,3160,1981
8137490,Forgery and counterfeiting,86600,55120,30760,420,300,1981
3399660,Fraud,295100,202040,90660,1440,960,1981
4123517,Embezzlement,8700,6460,2140,40,70,1981
2680702,Stolen property (buying or receiving or possessing),129500,84900,43440,660,500,1981
3833579,Vandalism,242600,197110,42490,1880,1120,1981
