,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,19190,9500,9370,180,140,1986
Forcible rape,37140,19200,17460,290,200,1986
Robbery,145800,53090,91320,670,720,1986
Aggravated assault,351770,207700,138970,3070,2030,1986
Burglary,450600,309980,134320,3510,2790,1986
Larceny-theft,1400200,936150,435140,15280,13640,1986
Motor vehicle theft,153600,95690,55310,1350,1250,1986
Arson,18700,14110,4410,90,80,1986
Simple assault,711000,455060,244850,6650,4440,1986
Forgery and counterfeiting,92200,61400,29820,510,460,1986
Fraud,349300,233830,112750,1540,1190,1986
Embezzlement,12600,8890,3570,50,90,1986
"Stolen property (buying, receiving, possessing)",135800,83770,50620,770,640,1986
Vandalism,259600,201900,53650,2350,1700,1986
"Weapons (carrying, possessing, etc.)",190500,121270,67020,910,1300,1986
Prostitution and commercialized vice,112600,65030,46110,510,950,1986
Sex offense (except forcible rape and prostitution),100600,77910,21180,950,560,1986
Drug abuse violations,824100,543520,273380,3520,3680,1986
Gambling,30500,14280,15340,20,860,1986
Offenses against the family and children,58400,38690,18800,650,260,1986
Driving under the influence,1793300,1589930,173990,19610,9780,1986
Liquor laws,600200,527580,57910,11570,3150,1986
Drunkenness,933900,746440,162170,23300,1990,1986
Disorderly conduct,676400,445760,221130,7300,2220,1986
Vagrancy,38700,26100,11170,1220,220,1986
All other offenses (except traffic),2730500,1786070,898850,23040,22550,1986
Curfew and loitering,86200,66330,17950,660,1260,1986
