,,,,,,
,,,,,,
offense,total,white,black,american_indian,asian,year
,,,,,,
Murder and nonnegligent manslaughter,10571,4910,5410,110,150,2014
Forcible rape,21007,NA,NA,NA,NA,2014
Robbery,94403,39610,53070,790,930,2014
Aggravated assault,372685,236510,124040,5610,6520,2014
Burglary,237974,160730,72020,2210,3020,2014
Larceny-theft,1238190,853910,348410,20030,15850,2014
Motor vehicle theft,68422,45370,21030,860,1170,2014
Arson,9394,6870,2190,190,140,2014
Other assaults,1093258,713930,348600,17610,13130,2014
Forgery and counterfeiting,56783,36300,19230,360,890,2014
Fraud,141293,92690,45650,1410,1540,2014
Embezzlement,16227,10070,5760,110,280,2014
Stolen property: buying or receiving or possessing,88946,58210,28740,850,1140,2014
Vandalism,198400,139180,53400,3560,2260,2014
Weapons: carrying or possessing or etc.,140713,80630,57150,1020,1900,2014
Prostitution and commercialized vice,47598,25520,19920,250,1900,2014
Sex offenses (except forcible rape and prostitution),55456,NA,NA,NA,NA,2014
Drug abuse violations,1561231,1074360,454960,13180,18730,2014
Gambling,5637,2020,3310,20,290,2014
Offenses against family and children,102336,66080,33450,2030,780,2014
Driving under the influence,1117852,934850,144950,15700,22360,2014
Liquor laws,321125,258880,45580,11880,4780,2014
Drunkenness,414854,335640,65270,8860,5090,2014
Disorderly conduct,436014,274100,148250,9950,3710,2014
Vagrancy,27380,18530,8040,560,260,2014
All other offenses,3274430,2220600,961700,54850,37280,2014
Curfew and loitering law violations,53654,27550,24780,610,710,2014
Murder and nonnegligent manslaughter,11092,5090,5670,130,200,2015
Forcible rape,22863,NA,NA,NA,NA,2015
Robbery,95572,42460,51110,740,1270,2015
Aggravated assault,376154,240710,120660,7630,7150,2015
Burglary,216010,147070,63660,2190,3080,2015
Larceny-theft,1160390,807010,317800,18580,17000,2015
Motor vehicle theft,77979,52390,22920,1200,1460,2015
Arson,8834,6470,1980,230,150,2015
Other assaults,1081019,712280,332850,19660,16220,2015
Forgery and counterfeiting,55333,35750,18260,380,940,2015
Fraud,133138,88610,41290,1520,1720,2015
Embezzlement,15909,9650,5860,110,300,2015
Stolen property: buying or receiving or possessing,88576,57990,28360,980,1250,2015
Vandalism,191015,132690,52010,3680,2630,2015
Weapons: carrying or possessing or etc.,145358,83900,58080,1440,1930,2015
Prostitution and commercialized vice,41877,22810,16710,150,2210,2015
Sex offenses (except forcible rape and prostitution),51388,NA,NA,NA,NA,2015
Drug abuse violations,1488707,1052510,402150,15340,18700,2015
Gambling,4825,1740,2720,30,340,2015
Offenses against family and children,94837,62440,28270,3370,760,2015
Driving under the influence,1089171,899650,143320,21170,25020,2015
Liquor laws,266250,212380,36650,12930,4290,2015
Drunkenness,405880,310260,57860,33230,4530,2015
Disorderly conduct,386078,247080,119690,15550,3770,2015
Vagrancy,25151,17290,6710,870,270,2015
All other offenses,3218880,2206840,902190,64390,45470,2015
Curfew and loitering law violations,44802,23640,20010,530,620,2015
Murder and nonnegligent manslaughter,10231,4620,5350,120,140,2013
Forcible rape,16863,NA,NA,NA,NA,2013
Robbery,94406,39330,53460,690,930,2013
Aggravated assault,358860,225710,121630,5500,6020,2013
Burglary,252629,170660,76430,2490,3050,2013
Larceny-theft,1231580,842030,352760,20340,16460,2013
Motor vehicle theft,64566,43010,19650,850,1050,2013
Arson,10509,7780,2430,160,140,2013
Other assaults,1097741,715320,351710,17740,12970,2013
Forgery and counterfeiting,60969,39300,20410,360,900,2013
Fraud,143528,94760,45850,1440,1480,2013
Embezzlement,15730,9900,5440,110,280,2013
Stolen property: buying or receiving or possessing,92691,62390,28270,860,1170,2013
Vandalism,201168,142350,52910,3710,2200,2013
Weapons: carrying or possessing or etc.,137779,80250,54730,1100,1700,2013
Prostitution and commercialized vice,48620,26260,20170,450,1740,2013
Sex offenses (except forcible rape and prostitution),57925,NA,NA,NA,NA,2013
